"venuename","Bends","popAvg","barrier_bin","margfin","sample","barrier_margadj"
"Flemington",0,3.38308605341246,"1-3",3.36470588235294,799,-0.0183801710595217
"Flemington",0,3.38308605341246,"4-6",3.35611866501854,809,-0.0269673883939214
"Flemington",0,3.38308605341246,"7+",3.52799717912553,1418,0.144911125713066
"Albury",1,3.89926829268293,"1-3",3.90984234234234,444,0.0105740496594153
"Albury",1,3.89926829268293,"4-6",3.69909512761021,431,-0.200173165072718
"Albury",1,3.89926829268293,"7+",4.04683544303797,711,0.147567150355048
"Ascot",1,3.24784384929641,"1-3",2.98399044205496,2511,-0.263853407241456
"Ascot",1,3.24784384929641,"4-6",3.1534224382341,2469,-0.0944214110623114
"Ascot",1,3.24784384929641,"7+",3.51704938659956,3179,0.269205537303145
"Bairnsdale",1,3.78531073446328,"1-3",3.73092485549133,346,-0.0543858789719471
"Bairnsdale",1,3.78531073446328,"4-6",3.72522255192878,337,-0.0600881825344932
"Bairnsdale",1,3.78531073446328,"7+",3.81798365122616,367,0.0326729167628814
"Balaklava",1,3.8509328358209,"1-3",3.7080684596577,818,-0.142864376163194
"Balaklava",1,3.8509328358209,"4-6",3.69206549118388,794,-0.158867344637016
"Balaklava",1,3.8509328358209,"7+",4.16328852119959,967,0.312355685378691
"Ballarat",1,3.73970130678283,"1-3",3.60867507886435,1268,-0.131026227918472
"Ballarat",1,3.73970130678283,"4-6",3.58528,1250,-0.154421306782825
"Ballarat",1,3.73970130678283,"7+",3.98635077793494,1414,0.246649471152111
"Balnarring",1,3.75575447570332,"1-3",3.725,216,-0.0307544757033247
"Balnarring",1,3.75575447570332,"4-6",3.61182795698925,186,-0.143926518714077
"Balnarring",1,3.75575447570332,"7+",4.42277227722772,101,0.667017801524398
"Bathurst",1,3.71772112382934,"1-3",3.4382091503268,765,-0.279511973502547
"Bathurst",1,3.71772112382934,"4-6",3.67443820224719,712,-0.0432829215821537
