"Bends","ExpPirCat","ExpPirAdj"
0,"BM",0.394994519371975
1,"BM",1.06955455286384
2,"BM",0.978680173657695
3,"BM",0.894492062674605
4,"BM",0.551257762534394
5,"BM",0.608041309073977
6,"BM",-0.227622890269949
0,"L",-0.382945427416318
1,"L",-0.924015755938997
2,"L",-0.846703105217439
3,"L",-0.3987676260307
4,"L",-0.366019160078737
5,"L",-0.00901799932477958
6,"L",0
0,"MF",0.0367764900218708
1,"MF",-0.090221572989505
2,"MF",-0.113541787848466
3,"MF",-0.131232916792016
4,"MF",-0.221831498127665
5,"MF",0.0892404930353755
6,"MF",0
0,"OF",0.117855876304129
1,"OF",0.358382575859891
2,"OF",0.288564678886332
3,"OF",0.0248097192595807
4,"OF",0.325030499346988
5,"OF",0.077180895126618
6,"OF",0
0,"OP",-0.166681458281656
1,"OP",-0.444167040746402
2,"OP",-0.447404923670072
3,"OP",-0.348420003893879
4,"OP",-0.288437603674979
5,"OP",-0.765444697911191
6,"OP",0
