"ExpPirCat","venuename","Bends","margfin","avgmargfin","n","ExpPirAdj"
"BM","Flemington",0,3.99333333333333,3.59833881396136,285,0.394994519371975
"L","Flemington",0,3.21539338654504,3.59833881396136,877,-0.382945427416318
"MF","Flemington",0,3.63511530398323,3.59833881396136,954,0.0367764900218708
"OF","Flemington",0,3.71619469026549,3.59833881396136,565,0.117855876304129
"OP","Flemington",0,3.4316573556797,3.59833881396136,1074,-0.166681458281656
"BM","Albury",1,5.19478260869565,3.97566676058601,115,1.21911584810964
"L","Albury",1,2.77816091954023,3.97566676058601,87,-1.19750584104578
"MF","Albury",1,3.91538461538462,3.97566676058601,91,-0.0602821452013971
"OF","Albury",1,4.1752688172043,3.97566676058601,93,0.199602056618289
"OP","Albury",1,3.81473684210526,3.97566676058601,95,-0.160929918480749
"BM","Ascot",1,4.31703703703704,3.27059768556793,1215,1.04643935146911
"L","Ascot",1,2.52956152758133,3.27059768556793,1414,-0.741036157986598
"MF","Ascot",1,3.1339229311434,3.27059768556793,1583,-0.136674754424529
"OF","Ascot",1,3.48157019294744,3.27059768556793,1503,0.210972507379511
"OP","Ascot",1,2.89089673913043,3.27059768556793,1472,-0.379700946437493
"BM","Bairnsdale",1,5.63703703703704,4.22256244156244,54,1.4144745954746
"L","Bairnsdale",1,2.94459459459459,4.22256244156244,74,-1.27796784696785
"MF","Bairnsdale",1,4.05857142857143,4.22256244156244,70,-0.163991012991013
"OF","Bairnsdale",1,5.24423076923077,4.22256244156244,52,1.02166832766833
"OP","Bairnsdale",1,3.22837837837838,4.22256244156244,74,-0.994184063184063
"BM","Balaklava",1,4.92156862745098,3.7866925050394,51,1.13487612241158
"L","Balaklava",1,2.79117647058824,3.7866925050394,102,-0.995516034451164
"MF","Balaklava",1,3.74588235294118,3.7866925050394,85,-0.0408101520982225
"OF","Balaklava",1,3.95147058823529,3.7866925050394,68,0.164778083195895
"OP","Balaklava",1,3.52336448598131,3.7866925050394,107,-0.263328019058091
"BM","Ballarat",1,4.70726351351351,3.81071132292463,592,0.896552190588888
"L","Ballarat",1,3.08173575129534,3.81071132292463,772,-0.728975571629289
"MF","Ballarat",1,3.73054522924411,3.81071132292463,807,-0.080166093680512
"OF","Ballarat",1,4.11437861271676,3.81071132292463,692,0.303667289792137
"OP","Ballarat",1,3.4196335078534,3.81071132292463,764,-0.391077815071223
"BM","Balnarring",1,6.5,3.38333333333333,1,1.06955455286384
"L","Balnarring",1,1.7,3.38333333333333,4,-0.924015755938997
"MF","Balnarring",1,3.16666666666667,3.38333333333333,3,-0.090221572989505
"OF","Balnarring",1,2.8,3.38333333333333,1,0.358382575859891
"OP","Balnarring",1,2.75,3.38333333333333,4,-0.444167040746402
"BM","Bathurst",1,5.45655737704918,4.21637665672018,61,1.240180720329
"L","Bathurst",1,2.67306306306306,4.21637665672018,111,-1.54331359365712
"MF","Bathurst",1,4.54644444444444,4.21637665672018,90,0.330067787724265
"OF","Bathurst",1,4.91925925925926,4.21637665672018,81,0.702882602539081
"OP","Bathurst",1,3.48655913978495,4.21637665672018,93,-0.729817516935233
"BM","Beaudesert",1,5.52083333333333,3.81439953372093,72,1.7064337996124
"L","Beaudesert",1,2.65483870967742,3.81439953372093,93,-1.15956082404351
"MF","Beaudesert",1,3.41341463414634,3.81439953372093,82,-0.400984899574592
"OF","Beaudesert",1,4.32317073170732,3.81439953372093,82,0.508771197986383
"OP","Beaudesert",1,3.15974025974026,3.81439953372093,77,-0.654659273980674
"BM","Belmont",1,4.3693137254902,3.36697072748029,102,1.0023429980099
"L","Belmont",1,2.64098130841121,3.36697072748029,214,-0.725989419069077
"MF","Belmont",1,3.10133640552995,3.36697072748029,217,-0.265634321950338
"OF","Belmont",1,3.99128342245989,3.36697072748029,187,0.624312694979601
"OP","Belmont",1,2.7319387755102,3.36697072748029,196,-0.635031951970088
"BM","Benalla",1,4.17979797979798,3.68052201732278,198,0.499275962475201
"L","Benalla",1,3.06852791878173,3.68052201732278,197,-0.611994098541053
"MF","Benalla",1,3.89611111111111,3.68052201732278,180,0.215589093788333
"OF","Benalla",1,3.96538461538462,3.68052201732278,208,0.284862598061837
"OP","Benalla",1,3.29278846153846,3.68052201732278,208,-0.387733555784317
"BM","Bendigo",1,4.3213630406291,3.68971062444231,763,0.631652416186784
"L","Bendigo",1,3.03922764227642,3.68971062444231,738,-0.650482982165888
"MF","Bendigo",1,3.69125,3.68971062444231,800,0.00153937555768913
"OF","Bendigo",1,4.05103092783505,3.68971062444231,776,0.36132030339274
"OP","Bendigo",1,3.34568151147099,3.68971062444231,741,-0.344029112971326
"BM","Bordertown",1,4.81666666666667,3.72786116130925,42,1.08880550535742
"L","Bordertown",1,2.49452054794521,3.72786116130925,73,-1.23334061336405
"MF","Bordertown",1,3.14821428571429,3.72786116130925,56,-0.579646875594965
"OF","Bordertown",1,4.95263157894737,3.72786116130925,38,1.22477041763812
"OP","Bordertown",1,3.22727272727273,3.72786116130925,66,-0.500588434036524
"BM","Bunbury",1,4.76875,3.61372190432394,128,1.15502809567606
"L","Bunbury",1,2.35149700598802,3.61372190432394,167,-1.26222489833592
"MF","Bunbury",1,3.66741573033708,3.61372190432394,178,0.0536938260131357
"OF","Bunbury",1,4.14864864864865,3.61372190432394,148,0.534926744324705
"OP","Bunbury",1,3.13229813664596,3.61372190432394,161,-0.48142376767798
"BM","Cairns",1,4.66,3.72469230769231,10,1.06955455286384
"L","Cairns",1,2.49230769230769,3.72469230769231,13,-0.924015755938997
"MF","Cairns",1,4.4,3.72469230769231,12,-0.090221572989505
"OF","Cairns",1,3.925,3.72469230769231,16,0.358382575859891
"OP","Cairns",1,3.14615384615385,3.72469230769231,13,-0.444167040746402
"BM","Canberra",1,4.93671532846715,3.79023113417142,137,1.14648419429573
"L","Canberra",1,2.95454148471616,3.79023113417142,229,-0.835689649455267
"MF","Canberra",1,4.08659898477157,3.79023113417142,197,0.296367850600149
"OF","Canberra",1,3.99883977900552,3.79023113417142,181,0.2086086448341
"OP","Canberra",1,2.97446009389671,3.79023113417142,213,-0.815771040274711
"BM","Canterbury",1,3.90496815286624,3.14678774912148,785,0.758180403744763
"L","Canterbury",1,2.38012232415902,3.14678774912148,981,-0.766665424962457
"MF","Canterbury",1,3.16410256410256,3.14678774912148,975,0.0173148149810851
"OF","Canterbury",1,3.38740245261984,3.14678774912148,897,0.240614703498365
"OP","Canterbury",1,2.89734325185972,3.14678774912148,941,-0.249444497261755
"BM","Casino",1,5.28169811320755,3.7168914433698,53,1.56480666983775
"L","Casino",1,2.43490196078431,3.7168914433698,51,-1.28198948258549
"MF","Casino",1,3.19119047619048,3.7168914433698,42,-0.525700967179325
"OF","Casino",1,4.11166666666667,3.7168914433698,48,0.394775223296866
"OP","Casino",1,3.565,3.7168914433698,38,-0.151891443369801
"BM","Caulfield",1,4.40512465373961,3.53775457053365,722,0.867370083205965
"L","Caulfield",1,2.97374331550802,3.53775457053365,935,-0.564011255025626
"MF","Caulfield",1,3.49842057761733,3.53775457053365,1108,-0.0393339929163186
"OF","Caulfield",1,3.51536144578313,3.53775457053365,996,-0.0223931247505145
"OP","Caulfield",1,3.29612286002014,3.53775457053365,993,-0.241631710513506
"BM","Coffs Harbour",1,4.56142857142857,3.89725445937211,70,0.664174112056465
"L","Coffs Harbour",1,3.51076923076923,3.89725445937211,65,-0.386485228602876
"MF","Coffs Harbour",1,3.40810810810811,3.89725445937211,74,-0.489146351263998
"OF","Coffs Harbour",1,4.45882352941176,3.89725445937211,68,0.561569070039659
"OP","Coffs Harbour",1,3.54714285714286,3.89725445937211,70,-0.350111602229249
"BM","Colac",1,4.84705882352941,3.44349056725926,34,1.40356825627015
"L","Colac",1,2.52545454545455,3.44349056725926,55,-0.918036021804716
"MF","Colac",1,3.56779661016949,3.44349056725926,59,0.12430604291023
"OF","Colac",1,3.795,3.44349056725926,40,0.351509432740739
"OP","Colac",1,2.48214285714286,3.44349056725926,56,-0.961347710116404
"BM","Coleraine",1,6.4,3.25666666666667,1,1.06955455286384
"L","Coleraine",1,2.3,3.25666666666667,2,-0.924015755938997
"MF","Coleraine",1,4.13333333333333,3.25666666666667,3,-0.090221572989505
"OF","Coleraine",1,3.45,3.25666666666667,2,0.358382575859891
"OP","Coleraine",1,0,3.25666666666667,1,-0.444167040746402
